id,name,uses,sources
abyssal_carapace,"Abyssal Carapace",5,"dungeons.json|item_sets.json|quests.json|recipes.json|structures.json"
abyssal_core_fragment,"Abyssal Core Fragment",1,"exploration.json"
abyssal_fin,"Abyssal Fin",1,"exploration.json"
abyssal_lamprey,"Abyssal Lamprey",3,"gathering_resources.json"
abyssal_phial,"Abyssal Phial",5,"base_upgrades.json|quests.json|recipes.json|structures.json"
abyssal_reel,"Abyssal Reel",1,"recipes.json"
abyssal_resin,"Abyssal Resin",11,"base_upgrades.json|events.json|exploration.json|exploration_overhaul.json|quests.json"
abyssal_ring,"Abyssal Ring",4,"dungeons.json|item_sets.json|recipes.json|structures.json"
abyssal_scepter,"Abyssal Scepter",5,"dungeons.json|item_sets.json|quests.json|recipes.json|structures.json"
aetheric_ore,"Aetheric Ore",1,"gathering_resources.json"
ancient_bark,"Ancient Bark",17,"base_upgrades.json|dungeons.json|exploration.json|exploration_overhaul.json|factions.json|gathering_resources.json|quests.json|settlements.json"
arcane_staff,"Skysong Arcanist Staff",3,"quests.json|recipes.json"
archivist_focus,"Archivist Focus",2,"exploration.json|structures.json"
ashen_brew,"Ashen Brew",2,"recipes.json|structures.json"
ashen_cloak,"Ashen Cloak",1,"structures.json"
ashen_codex,"Ashen Codex",1,"structures.json"
ashen_crusher,"Ashen Crusher",3,"dungeons.json|recipes.json|structures.json"
ashen_fragment,"Ashen Fragment",1,"exploration.json"
ashen_glass,"Ashen Glass",2,"exploration.json|structures.json"
ashen_pearl,"Ashen Pearl",1,"exploration.json"
ashglass_core,"Ashglass Core",4,"gathering_resources.json"
ashstone,"Ashstone",5,"exploration.json|structures.json"
astro_ink,"Astro Ink",3,"enemies.json|exploration.json"
auric_powder,"Auric Powder",10,"events.json|exploration.json|structures.json"
aurora_buckle,"Aurora Buckle",1,"structures.json"
aurora_crystal,"Aurora Crystal",5,"dungeons.json|enemies.json|exploration.json|exploration_overhaul.json"
aurora_ember,"Aurora Ember",13,"base_upgrades.json|exploration.json|settlements.json|structures.json"
aurora_mail,"Aurora Mail",3,"dungeons.json|events.json"
aurora_sorbet,"Aurora Sorbet",3,"dungeons.json|recipes.json|structures.json"
aurora_warhammer,"Aurora Warhammer",1,"dungeons.json"
auroral_grain,"Auroral Grain",9,"gathering_resources.json"
azure_coralline,"Azure Coralline",8,"exploration.json|structures.json"
bloodoak_sap,"Bloodoak Sap",1,"gathering_resources.json"
bloomcap_spore,"Bloomcap Spore",1,"gathering_resources.json"
bluehaven_pearl,"Bluehaven Pearl",4,"events.json|exploration.json|structures.json"
bog_amber,"Bog Amber",1,"exploration.json"
bog_lotus,"Bog Lotus",4,"exploration.json|structures.json"
borea_fur_cloak,"Borea Fur Cloak",5,"dungeons.json|events.json|structures.json"
celestial_leaf,"Celestial Leaf",2,"enemies.json|exploration.json"
celestial_longbow,"Celestial Longbow",5,"dungeons.json|item_sets.json|quests.json|recipes.json|structures.json"
celestial_orb,"Celestial Orb",6,"dungeons.json|enemies.json|item_sets.json|quests.json|recipes.json|structures.json"
celestial_ore,"Celestial Ore",1,"exploration.json"
celestial_raiment,"Celestial Raiment",5,"dungeons.json|item_sets.json|quests.json|recipes.json|structures.json"
celestial_tea,"Celestial Tea",5,"base_upgrades.json|events.json|quests.json|recipes.json|structures.json"
celestial_thread,"Celestial Thread",10,"base_upgrades.json|enemies.json|exploration.json|quests.json|settlements.json"
choral_marrow,"Choral Marrow",1,"gathering_resources.json"
cinder_bloom,"Cinder Bloom",3,"gathering_resources.json"
cinder_plate,"Cinder Plate",1,"dungeons.json"
cinder_resin,"Cinder Resin",10,"dungeons.json|enemies.json|events.json|exploration.json|exploration_overhaul.json|gathering_resources.json"
cliffgrain_seed,"Cliffgrain Seed",2,"gathering_resources.json"
coral_branch,"Coral Branch",4,"exploration.json|structures.json"
cosmic_lens,"Cosmic Lens",2,"exploration.json|structures.json"
crimson_pike,"Crimson Pike",1,"gathering_resources.json"
crimson_pitch,"Crimson Pitch",2,"exploration.json|structures.json"
crimson_thornhot,"Crimson Thornhot",1,"recipes.json"
crystal_bloom,"Crystal Bloom",3,"exploration.json|structures.json"
crystal_spire,"Crystal Spire",3,"exploration.json"
dawnwatch_feather,"Dawnwatch Feather",4,"events.json|exploration.json|structures.json"
deepcurrent_salmon,"Deepcurrent Salmon",5,"gathering_resources.json"
deepsea_trident,"Deepsea Trident",5,"dungeons.json|recipes.json"
delta_compass,"Delta Compass",2,"dungeons.json|structures.json"
delta_myr,"Delta Myr",1,"exploration.json"
delta_phosphor,"Delta Phosphor",5,"enemies.json|exploration.json|exploration_overhaul.json|settlements.json"
delta_scalecoat,"Delta Scalecoat",2,"dungeons.json|structures.json"
delta_shell,"Delta Shell",5,"base_upgrades.json|enemies.json|exploration.json|exploration_overhaul.json"
delta_stew,"Delta Stew",2,"events.json|recipes.json"
delta_trident,"Delta Trident",3,"dungeons.json|recipes.json|structures.json"
diamond_sword,"Luminite Edge",1,"events.json"
dreadroot_bark,"Dreadroot Bark",5,"exploration.json|structures.json"
dune_silk,"Dune Silk",3,"gathering_resources.json"
dune_spiced_skate,"Dune-Spiced Skate",1,"recipes.json"
dunesilk_tonic,"Dunesilk Tonic",1,"brews.json"
duskfall_reed,"Duskfall Reed",4,"exploration.json|structures.json"
earthbreaker_hammer,"Earthbreaker Hammer",1,"events.json"
echo_crystal,"Echo Crystal",11,"exploration.json|structures.json"
echoing_focus,"Echoing Focus",2,"exploration.json|structures.json"
ember_ale,"Ember Ale",6,"brews.json|factions.json|quests.json|recipes.json"
ember_crystal_cluster,"Ember Crystal Cluster",4,"dungeons.json|events.json|exploration.json"
ember_resin,"Ember Resin",14,"dungeons.json|events.json|exploration.json|exploration_overhaul.json|structures.json"
ember_rift_blade,"Ember Rift Blade",5,"dungeons.json|item_sets.json|quests.json|recipes.json|structures.json"
ember_rift_core,"Ember Rift Core",9,"dungeons.json|enemies.json|events.json|exploration.json|exploration_overhaul.json|quests.json"
ember_rift_draught,"Ember Rift Draught",5,"base_upgrades.json|events.json|quests.json|recipes.json"
ember_rift_shard,"Ember Rift Shard",2,"enemies.json|exploration.json"
ember_rift_talisman,"Ember Rift Talisman",3,"item_sets.json|quests.json|structures.json"
embered_seed,"Embered Seed",3,"gathering_resources.json"
emberfen_resin,"Emberfen Resin",6,"exploration.json|gathering_resources.json|structures.json"
emberfin_eel,"Emberfin Eel",5,"gathering_resources.json"
emberglass_shard,"Emberglass Shard",10,"exploration.json|exploration_overhaul.json|structures.json"
emberglow_slag,"Emberglow Slag",5,"exploration.json|structures.json"
emberscale_mail,"Emberscale Mail",2,"recipes.json"
emberstorm_bow,"Emberstorm Bow",7,"dungeons.json|quests.json|recipes.json"
emberweave_hauberk,"Emberweave Hauberk",5,"dungeons.json|item_sets.json|quests.json|recipes.json|structures.json"
everfrost_codex,"Everfrost Codex",3,"events.json|exploration.json|structures.json"
fen_marrow,"Fen Marrow",1,"enemies.json"
fen_root,"Fen Root",9,"base_upgrades.json|exploration.json|exploration_overhaul.json|gathering_resources.json"
fenfire_charm,"Fenfire Charm",2,"dungeons.json|structures.json"
fenfire_globe,"Fenfire Globe",2,"exploration.json"
fenfire_salve,"Fenfire Salve",4,"dungeons.json|quests.json|recipes.json|structures.json"
fenrunner_blades,"Fenrunner Blades",2,"recipes.json|structures.json"
fenwarden_shell,"Fenwarden Shell",1,"structures.json"
focus_elixir,"Focus Elixir",26,"base_upgrades.json|dungeons.json|events.json|exploration.json|exploration_overhaul.json|factions.json|quests.json|recipes.json|settlements.json|structures.json"
frostbite_blade,"Frostbite Blade",6,"dungeons.json|recipes.json"
frostgill_trout,"Frostgill Trout",4,"gathering_resources.json"
frostglow_ring,"Frostglow Ring",3,"factions.json|recipes.json"
frostpine_resin,"Frostpine Resin",3,"gathering_resources.json"
gale_blade,"Gale Blade",3,"quests.json|recipes.json"
gale_runner_boots,"Gale Runner Boots",5,"dungeons.json|recipes.json"
galeheart_lattice,"Galeheart Lattice",2,"exploration.json"
galevine,"Galevine",3,"gathering_resources.json"
gilded_choker,"Gilded Choker",1,"structures.json"
gilded_estoc,"Gilded Estoc",1,"structures.json"
gilded_filament,"Gilded Filament",2,"events.json|exploration.json"
gilded_truffle,"Gilded Truffle",5,"exploration_overhaul.json|recipes.json|settlements.json|structures.json"
gilded_vestments,"Gilded Vestments",1,"structures.json"
glacier_ore,"Glacier Ore",6,"gathering_resources.json"
glacier_resilience_draught,"Glacier Resilience Draught",1,"brews.json"
glimmerdew_petals,"Glimmerdew Petals",4,"gathering_resources.json"
glimmerfen_bloom,"Glimmerfen Bloom",2,"exploration.json|structures.json"
glitterwing_bow,"Glitterwing Bow",8,"dungeons.json|recipes.json"
gloamshade_spore,"Gloamshade Spore",7,"exploration.json|structures.json"
gloomdew_extract,"Gloomdew Extract",9,"dungeons.json|enemies.json|exploration.json|exploration_overhaul.json|gathering_resources.json|structures.json"
gloomlamp_catfish,"Gloomlamp Catfish",6,"gathering_resources.json"
gloomreaper_sickle,"Gloomreaper Sickle",1,"recipes.json"
gloomscale_piranha,"Gloomscale Piranha",4,"gathering_resources.json"
glowcap_soup,"Glowcap Soup",7,"brews.json|dungeons.json|recipes.json"
glowcap_spore,"Glowcap Spore",5,"exploration.json|structures.json"
glyph_powder,"Glyph Powder",3,"enemies.json|exploration.json|quests.json"
greater_health_potion,"Grand Life Elixir",2,"recipes.json"
guardian_armor,"Guardian Bulwark",4,"quests.json|recipes.json"
harvesters_scythe,"Harvester's Scythe",1,"recipes.json"
health_potion,"Minor Healing Draught",2,"events.json|structures.json"
hollowroot_paste,"Hollowroot Paste",1,"exploration.json"
horizon_sunsteel,"Horizon Sunsteel",6,"exploration.json|structures.json"
icefin_perch,"Icefin Perch",6,"gathering_resources.json"
igneous_powder,"Igneous Powder",2,"gathering_resources.json"
iron_armor,"Borea Vanguard Mail",3,"events.json|factions.json|structures.json"
iron_ingot,"Refined Iron Ingot",5,"exploration.json|structures.json"
iron_sword,"Outpost Ironblade",2,"events.json|structures.json"
ironheart_sap,"Ironheart Sap",3,"exploration.json|structures.json"
ironroot_heartwood,"Ironroot Heartwood",9,"exploration.json|structures.json"
kelpweave_fiber,"Kelpweave Fiber",2,"gathering_resources.json"
kweebec_charm,"Kweebec Charm",13,"dungeons.json|exploration.json|exploration_overhaul.json|factions.json|quests.json|settlements.json|structures.json"
kweebec_hatchet,"Kweebec Hatchet",1,"recipes.json"
kweebec_honey,"Kweebec Honey",2,"gathering_resources.json"
lava_core,"Lava Core",9,"exploration.json|structures.json"
lavafern_leaf,"Lavafern Leaf",2,"gathering_resources.json"
leather_armor,"Forager Leathers",2,"events.json|structures.json"
lightning_resin,"Lightning Resin",2,"gathering_resources.json"
luminite_core,"Luminite Core",5,"dungeons.json|events.json|quests.json"
luminous_aegis,"Luminous Aegis",1,"structures.json"
luminous_lance,"Luminous Lance",2,"dungeons.json|structures.json"
luminous_nectar,"Luminous Nectar",2,"base_upgrades.json|recipes.json"
